mode_idx,re_penetration,fault_name,fault_bus,clear_time,success,stable,severity,f_angle,f_freq,f_voltage,V_min,max_angle_deg,max_freq_dev_hz,initial_flow_MW,final_flow_MW,max_flow_MW,sim_time,re_west_fraction,re_dispatch_west,re_dispatch_east,load_level_west,load_level_east,gen_dispatch,total_re_mw,west_re_mw,east_re_mw,west_import_demand,east_export_surplus,inertia_proxy,transfer_demand,distribution_mode
0,0.0,bus4_ct10,4.0,0.1,True,False,0.6213188222508321,0.5936173663893728,0.3041228990702791,0.9939176571543038,0.006082342845696204,106.85112595008711,0.6082457981405609,-838.7065834702989,-681.4274921677865,1769.3262859983101,2.611788511276245,0.4890280390061987,0.4249745364015508,0.3052960594914611,0.8590582265211235,0.8402437764836325,1,0.0,0.0,0.0,-217.22120932023608,646.8142360948577,16.581643309656364,217.22120932023608,balanced
0,0.0,bus14_ct10,14.0,0.1,True,False,0.6143339960128562,0.593117241841727,0.2769400685703829,0.9941614317975878,0.005838568202412198,106.76110353151086,0.5538801371407676,-838.7065834702989,-681.4226833582875,1778.6520903308376,2.2273638248443604,0.4890280390061987,0.4249745364015508,0.3052960594914611,0.8590582265211235,0.8402437764836325,1,0.0,0.0,0.0,-217.22120932023608,646.8142360948577,16.581643309656364,217.22120932023608,balanced
0,0.0,bus16_ct10,16.0,0.1,True,False,0.674201409482598,0.6851926887132292,0.33411050585442226,0.9923097546495112,0.007690245350488781,123.33468396838127,0.6682210117088472,-838.7065834702989,-680.8942605847969,2019.0517900180403,2.4606547355651855,0.4890280390061987,0.4249745364015508,0.3052960594914611,0.8590582265211235,0.8402437764836325,1,0.0,0.0,0.0,-217.22120932023608,646.8142360948577,16.581643309656364,217.22120932023608,balanced
0,0.0,bus26_ct10,26.0,0.1,True,False,0.5688309013517558,0.5478051464200135,0.1846649130366309,0.9950483995303656,0.004951600469634425,98.60492635560243,0.36932982607325915,-838.7065834702989,-682.5175335603728,1666.4566773826832,2.160114049911499,0.4890280390061987,0.4249745364015508,0.3052960594914611,0.8590582265211235,0.8402437764836325,1,0.0,0.0,0.0,-217.22120932023608,646.8142360948577,16.581643309656364,217.22120932023608,balanced
0,0.0,bus20_ct15,20.0,0.15,True,False,0.9336523079947998,1.0,0.7346092319791993,1.0,-0.12687356101275593,181.10331887995852,1.469218463958395,-838.7065834702989,-901.0218415653982,1374.838424732887,0.9335248470306396,0.4890280390061987,0.4249745364015508,0.3052960594914611,0.8590582265211235,0.8402437764836325,1,0.0,0.0,0.0,-217.22120932023608,646.8142360948577,16.581643309656364,217.22120932023608,balanced
0,0.0,bus8_ct15,8.0,0.15,True,False,0.706327926398287,0.6853137831317148,0.4597109589607342,0.9949731803689844,0.005026819631015643,123.35648096370866,0.9194219179214658,-838.7065834702989,-679.8229500982792,1926.1549404738657,2.3884642124176025,0.4890280390061987,0.4249745364015508,0.3052960594914611,0.8590582265211235,0.8402437764836325,1,0.0,0.0,0.0,-217.22120932023608,646.8142360948577,16.581643309656364,217.22120932023608,balanced
0,0.0,bus4_ct25,4.0,0.25,True,False,0.9084760716549116,1.0,0.6389551663670687,0.9949491202525779,0.005050879747422186,181.3271196793743,1.2779103327341401,-838.7065834702989,-841.169713698625,1738.0269143305059,0.6298797130584717,0.4890280390061987,0.4249745364015508,0.3052960594914611,0.8590582265211235,0.8402437764836325,1,0.0,0.0,0.0,-217.22120932023608,646.8142360948577,16.581643309656364,217.22120932023608,balanced
0,0.0,bus16_ct25,16.0,0.25,True,False,0.9509488208168015,1.0,0.8037952832672062,1.0,-1.515306998336056e-11,180.98721391876225,1.6075905665344115,-838.7065834702989,-144.37217447307205,1270.2658145787188,0.47987914085388184,0.4890280390061987,0.4249745364015508,0.3052960594914611,0.8590582265211235,0.8402437764836325,1,0.0,0.0,0.0,-217.22120932023608,646.8142360948577,16.581643309656364,217.22120932023608,balanced
0,0.0,gen_trip_g4,,,True,False,0.2514540760558124,0.4746274143329809,0.04163441746043617,0.014927058096851464,0.9850729419031485,85.43293457993656,0.08326883492086878,-838.7065834702989,-683.4125125883035,1291.3197890371891,2.100360631942749,0.4890280390061987,0.4249745364015508,0.3052960594914611,0.8590582265211235,0.8402437764836325,1,0.0,0.0,0.0,-217.22120932023608,646.8142360948577,16.581643309656364,217.22120932023608,balanced
1,0.0,bus4_ct10,4.0,0.1,True,True,0.6009133529282648,0.5581713662549411,0.29348050765312195,0.9938301715500547,0.00616982844994528,100.4708459258894,0.5869610153062421,-875.8758502701787,-874.2476048727816,1946.547553669898,1.713918924331665,0.12179715918311136,0.3796182460868276,0.38101103457592983,1.1507323501115139,0.8235613487991934,3,0.0,0.0,0.0,853.6093791577359,1169.775987030937,16.581643309656364,853.6093791577359,east_concentrated
1,0.0,bus14_ct10,14.0,0.1,True,True,0.6020551215465385,0.5581540601960703,0.2977999538122127,0.9941124119818007,0.0058875880181992815,100.46773083529266,0.5955999076244245,-875.8758502701787,-874.2729402185789,1962.0252329477873,2.292109966278076,0.12179715918311136,0.3796182460868276,0.38101103457592983,1.1507323501115139,0.8235613487991934,3,0.0,0.0,0.0,853.6093791577359,1169.775987030937,16.581643309656364,853.6093791577359,east_concentrated
1,0.0,bus16_ct10,16.0,0.1,True,True,0.6545313445839623,0.6516638995240879,0.32248414805878056,0.992313431228893,0.007686568771106918,117.29950191433582,0.6449682961175629,-875.8758502701787,-873.7853999884053,2226.956796263241,1.9317820072174072,0.12179715918311136,0.3796182460868276,0.38101103457592983,1.1507323501115139,0.8235613487991934,3,0.0,0.0,0.0,853.6093791577359,1169.775987030937,16.581643309656364,853.6093791577359,east_concentrated
1,0.0,bus26_ct10,26.0,0.1,True,True,0.5430640601959115,0.5060102423696512,0.16518392958676387,0.9950518264575795,0.004948173542420511,91.08184362653721,0.33036785917352596,-875.8758502701787,-875.1384973886292,1808.5339914535664,1.9619052410125732,0.12179715918311136,0.3796182460868276,0.38101103457592983,1.1507323501115139,0.8235613487991934,3,0.0,0.0,0.0,853.6093791577359,1169.775987030937,16.581643309656364,853.6093791577359,east_concentrated
1,0.0,bus20_ct15,20.0,0.15,True,False,0.9464150967212328,1.0,0.7856603868849312,1.0,-0.12369704031424744,181.83413302093192,1.5713207737698598,-875.8758502701787,-908.1619797951071,1439.4294519168861,0.654876708984375,0.12179715918311136,0.3796182460868276,0.38101103457592983,1.1507323501115139,0.8235613487991934,3,0.0,0.0,0.0,853.6093791577359,1169.775987030937,16.581643309656364,853.6093791577359,east_concentrated
1,0.0,bus8_ct15,8.0,0.15,True,True,0.6876044189451519,0.6594142799478201,0.4367182644688725,0.9948708514160948,0.005129148583905263,118.69457039060761,0.8734365289377477,-875.8758502701787,-873.2081948117007,2089.8236827899946,2.0946264266967773,0.12179715918311136,0.3796182460868276,0.38101103457592983,1.1507323501115139,0.8235613487991934,3,0.0,0.0,0.0,853.6093791577359,1169.775987030937,16.581643309656364,853.6093791577359,east_concentrated
1,0.0,bus4_ct25,4.0,0.25,True,False,0.9093520602326279,1.0,0.6425349542052352,0.9948732867252763,0.005126713274723696,184.45036362483523,1.2850699084104722,-875.8758502701787,-910.4698453234736,1884.7150523638713,0.3791203498840332,0.12179715918311136,0.3796182460868276,0.38101103457592983,1.1507323501115139,0.8235613487991934,3,0.0,0.0,0.0,853.6093791577359,1169.775987030937,16.581643309656364,853.6093791577359,east_concentrated
